Category,Description
IT,New Organisation Created
IT,New Organisation Created
Other,Changes in IT
Other,Bisari pani bottle
Operations,Market office saman buy a
IT,New Organisation Created
IT,New Organisation Created
Marketing & Sales,Please raise PI FOR 7 USERS details shared of gst
IT,New Organisation Created
Other,Miscellaneous Tasks - 22 Oct 22
Marketing & Sales,Not able to check in
IT,New Organisation Created
IT,Graph And Product
IT,Lazy Loading
IT,New Organisation Created
IT,New Organisation Created
Other,Miscellaneous Tasks - 28 Oct 22
Operations,Top 20 Customers and their pending complaints
Other,Prepare different cases of scrap for material rec.
Finance,Finance at bank
Marketing & Sales,New Website Lead
Marketing & Sales,New Website Lead
IT,#Bug - Fusion industries limited
Operations,Car cleaning - 29 Oct 22
Operations,Coffee machine cleaning - 29 Oct 22
Training,IT Training - 29 Oct 22
Marketing & Sales,IT Illustration Video
IT,New Organisation Created
IT,New Organisation Created
IT,#Bug - Promptech Industrial Products
Marketing & Sales,New Website Lead
IT,New Organisation Created
IT,New Organisation Created
Marketing & Sales,Wa sender
IT,Git push Saturday - 05 Nov 22
Other,Miscellaneous Tasks - 31 Oct 22
IT,#Bug - TRE
IT,#Bug - Fusion industries limited
Marketing & Sales,New Website Lead
Operations,Car cleaning - 10 Oct 22
Operations,Coffee machine cleaning - 10 Oct 22
IT,Git Push Saturday - 15 Oct 22
Other,Miscellaneous Tasks - 10 Oct 22
Other,Monthly contribution October
HR,Attendance of september
Marketing & Sales,Testimonials Of Trackhr
HR,Waiver late mark upto 09.45 of rakesh
Other,Rainbow pant and garnal traders and sector 21 c
IT,Login Ui And Screen
HR,Monthly party contribution - 10 Nov 22
HR,Monthly party contribution - 10 Nov 22
HR,Attendance verification - 10 Nov 22
Other,Miscellaneous Tasks - 11 Oct 22
Operations,Do upgrade the DB of promptech (ver. Do bhatia)
Operations,Finance at bank
Other,Perform IT in any upgraded database.
IT,Veneer addition
IT,Bsl casting error material issue summary
Operations,Deep computer and Arun electrical
Operations,Car cleaning - 12 Oct 22
Operations,Coffee machine cleaning - 12 Oct 22
Other,Miscellaneous Tasks - 12 Oct 22
IT,New Organisation Created
IT,New Organisation Created
Other,Changes in IT 12 October
Operations,Savree sales 1 no.market
Operations,Plant cafe
Marketing & Sales,Add number option in IT
Marketing & Sales,Please resolve Airtech solution problems ASAP
Marketing & Sales,TrackHr Demo for Tech jockey lead ( Urgent)
Other,Water supply Tanki
Other,Miscellaneous Tasks - 14 Oct 22
Other,Nit 5 market
Marketing & Sales,Track Hr Commercial
Marketing & Sales,Demo schedule for 3:00pm today
Marketing & Sales,Training Session For Nitin Thulkar
IT,New Organisation Created
IT,New Organisation Created
Other,Espark electrical and bilu lassi
Training,IT Training - 21 Oct 22
Other,Office shifting
IT,New Organisation Request
IT,New Organisation Request
Marketing & Sales,New Website Lead
Training,IT Training - 17 Oct 22
Operations,Car cleaning - 17 Oct 22
Operations,Coffee machine cleaning - 17 Oct 22
IT,SQL and ems install
Marketing & Sales,New Website Lead
IT,#Bug - Hex Business Innovations
Other,Trackon courier & classic hardware & sector 21 c
Operations,Saarvee sales
IT,test
Marketing & Sales,Anurag Bhalla Bug
Finance,Advance 2000 saman buy
Marketing & Sales,Track Hr Commercial
IT,Route card complaint
IT,Ems Install
IT,Additions
Training,IT Training - 18 Oct 22
Other,Miscellaneous Tasks - 18 Oct 22
Other,Miscellaneous Tasks - 18 Oct 22
Marketing & Sales,Training Call Bhavsar Foundation
Other,Rainbow pant & shubham sales & sector 21 c
IT,Visit Nehru place
Marketing & Sales,Lock User Count For Autoinspectorate
Other,Demo training
Marketing & Sales,Req payment of gurgaon
IT,Call bimlesh for change advice no and invoice
Training,For financial
Operations,Advice vs invoice mismatch bsl
IT,Myp
IT,OA Styling
Marketing & Sales,Finalise Reel
Other,Miscellaneous Tasks - 19 Oct 22
Other,Miscellaneous Tasks - 19 Oct 22
HR,Check In Error
Other,"BSL CASTING, WIP ISSUE"
Marketing & Sales,subscription status
IT,New Organisation Created
IT,New Organisation Created
Other,Nit 5 market peti buy
Other,Water supply Tanki
Marketing & Sales,Please lock @7users and remove ads asap
HR,Petty cash
Other,BSL CASTING (imir pendency issue)
Marketing & Sales,Send me mail subscription status
Operations,Deliver angoothi to Mrs. Sita
IT,#Bug - Sachinmulge
IT,Alumex international
Finance,Voucher
Finance,GSTR 2A VS 3B RECO and accounts updation - 15 Nov 22
Finance,Payment chaseup phase 1 - 15 Nov 22
IT,Git Push Saturday - 22 Oct 22
Other,Miscellaneous Tasks - 17 Oct 22
IT,Bhatiya alloy 2 Error in GRN
Marketing & Sales,Please close subscription they don't want to conti
IT,31 coffee Service Report changes
Finance,Einvoice not properly make
Finance,Voucher
Finance,Voucher
IT,send me Intalio detailing
Other,Finance at bank
Operations,Car cleaning - 19 Oct 22
Operations,Coffee machine cleaning - 19 Oct 22
Finance,Print all payments doc
IT,IT bug in find option
IT,Gitpush - 22 Oct 22
Other,Miscellaneous Tasks - 20 Oct 22
Operations,Car cleaning - 20 Oct 22
Operations,Coffee machine cleaning - 20 Oct 22
Other,Miscellaneous Tasks - 20 Oct 22
IT,Script running status
Other,Miscellaneous Tasks - 20 Oct 22
Operations,Note requirement of Hella industry
Marketing & Sales,Training Session
Marketing & Sales,Training Session For Docto Net Private Ltd
IT,pioneer complaint
Other,Please provide 2 pdf of qr sticker
Other,Sector 21 c drop boy
Other,Office shifting and packing help
Marketing & Sales,New Website Lead
Other,Miscellaneous Tasks - 21 Oct 22
Operations,Car cleaning - 21 Oct 22
Operations,Coffee machine cleaning - 21 Oct 22
Marketing & Sales,Diwali Post
Other,"BSL casting, Route Card print format"
Operations,Collect cheque from rv industrial
Marketing & Sales,New Website Lead
Operations,Car cleaning - 22 Oct 22
Operations,Coffee machine cleaning - 22 Oct 22
Training,IT Training - 22 Oct 22
IT,New Organisation Created
IT,New Organisation Created
IT,#Bug - Encoders India
Operations,Car cleaning - 18 Oct 22
Operations,Coffee machine cleaning - 18 Oct 22
Other,Arun electrical & espark electrical & sector 21 c
IT,New Organisation Created
IT,New Organisation Created
IT,New Organisation Created
IT,New Organisation Created
IT,Login
Training,IT Training - 20 Oct 22
Marketing & Sales,Airtech Solutions Location Issue ASAP
Finance,Raise PI For Docto Net Private Limited
Finance,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Raise PI For Docto Net Priva"
IT,Additons
IT,New Organisation Created
IT,New Organisation Created
Other,Miscellaneous Tasks - 21 Oct 22
Other,Miscellaneous Tasks - 21 Oct 22
HR,Clear conveyance
Operations,Ask Cr note making days limit after invoicing
Other,Miscellaneous Tasks - 22 Oct 22
IT,New Organisation Created
IT,New Organisation Created
IT,Gitpush - 12 Nov 22
Other,Miscellaneous Tasks - 07 Nov 22
IT,Promptech
IT,New Organisation Created
HR,Travel voucher
IT,New Organisation Created
Finance,Payment chaseup trackhr parties - 07 Dec 22
Other,Please see Today IT font updation
Training,HR App Discussion - 09 Nov 22
IT,TrackHr App SQL Dev - 09 Nov 22
Other,Please install the sql2014
IT,New Organisation Created
IT,New Organisation Created
Other,"Market hardware, electronics, nit5, old office"
Other,Restore the dbase of arvindo fabnoplast
HR,Monthly party contribution - 10 Dec 22
HR,Monthly contribution - 10 Dec 22
Other,Monthly contribution Nov
Other,Monthly contribution Nov
Other,Monthly contribution Nov
Other,Monthly contribution nov
Other,Provide 10 e scan for staff
Marketing & Sales,Lock app users and remove ads
Operations,Car cleaning - 14 Nov 22
Operations,Coffee machine cleaning - 14 Nov 22
IT,Git push Saturday - 19 Nov 22
Other,Miscellaneous Tasks - 14 Nov 22
IT,Restore alumex dbase for complaint
IT,Share me status for WIP IN SIDDHI
Other,Airtel service centre k liye
Training,HR App Discussion - 14 Nov 22
IT,TrackHr App SQL Dev - 14 Nov 22
Operations,Sector 21 c market and mewala maharajpur
IT,Organization Setting
IT,New Organisation Created
IT,New Organisation Created
Training,HR App Discussion - 15 Nov 22
IT,Bug
IT,Black QR Text
IT,New Organisation Created
IT,New Organisation Created
Finance,Voucher
IT,New Organisation Created
IT,New Organisation Created
Other,Miscellaneous Tasks - 16 Nov 22
Marketing & Sales,New Website Lead
IT,#Bug - Rikki Plastic Pvt Ltd
Other,Hardware shop sector 21 c
Finance,Lawcrux Server Payment
IT,Tajforging me April ka bill mail krna hai
Training,Table component
Operations,Deep computer laptop battery buy
IT,New Organisation Created
IT,New Organisation Created
Marketing & Sales,Add User In Bhavsar
IT,[Sub] Contact sharing
IT,Ems install
IT,Test new online offline mode
IT,New Organisation Request
IT,New Organisation Request
Other,Company Name = Omega Bright
Other,Company Name =VPPL
Training,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Company Name =SPRAL"
Training,Replace column name
Operations,Car cleaning - 15 Nov 22
Operations,Coffee machine cleaning - 15 Nov 22
IT,Demo
IT,TrackHr App SQL Dev - 15 Nov 22
Other,Hardware shop
Training,IT Training - 16 Nov 22
Other,Please test cp venner IT
IT,Bug
HR,Required some stationary
IT,Sorting
IT,New Organisation Created
IT,New Organisation Created
Training,IT Training - 17 Nov 22
Training,Difference btw html and html5 and list
Other,Pen drive data copy
Marketing & Sales,Reel
Other,Issue advance
IT,Company Name = SRBI
Training,S1/2 Fb login page ui
Other,Hard disk replace
IT,New Organisation Created
Finance,"Collect cheque from royal autotech,bsl,condor"
Other,Miscellaneous Tasks - 18 Nov 22
IT,Odbc error
IT,Find it requirements
Operations,The error massage should be in users language
IT,IT requirements
Operations,Provide contacts of new Trackhr clients
Marketing & Sales,Wp automation software
Training,Training calender day 2
IT,#Bug - Vijay Infra
IT,New Organisation Created
IT,New Organisation Created
IT,New Organisation Created
IT,New Organisation Created
IT,Check Escan availablity in all system
Other,Monthly contribution nov
Other,Monthly contribution nov
IT,Rajhans pressing 24
Training,Kr Automotive
IT,Group Master
IT,Erp
IT,New Organisation Created
Operations,Create a Dbase
Operations,Car cleaning - 19 Nov 22
Operations,Coffee machine cleaning - 19 Nov 22
IT,New Organisation Created
IT,New Organisation Created
IT,#Bug - Vijay Infra
IT,New Organisation Created
IT,New Organisation Created
IT,Git push Saturday - 26 Nov 22
Other,Miscellaneous Tasks - 21 Nov 22
Training,Demo
Training,Demo
IT,New Organisation Created
IT,New Organisation Created
IT,Attach all data of Rajan enterprise
IT,Contact vivek&deepak bhatia alloys
IT,Recover C Drive
IT,New Organisation Created
IT,New Organisation Created
Finance,Voucher
Other,Ankhir chowk & classic hardware & 5 number market
Marketing & Sales,Recharge My Number
IT,Bug
IT,New Organisation Created
IT,New Organisation Created
Other,Miscellaneous Tasks - 22 Nov 22
Other,Miscellaneous Tasks - 22 Nov 22
IT,#Bug - Way2advertize
Marketing & Sales,Maan Architect Subscribe Again
Other,317 sector 21 b pant buy
Training,K.R automotive
Other,Company Name = SPRA (SOMDEV)
IT,Odbc error
IT,Rtgs info me bank name add krna hai
Marketing & Sales,New Website Lead
IT,Remove Space In Qr
Training,HR App Discussion - 22 Nov 22
IT,TrackHr App SQL Dev - 22 Nov 22
Other,Please correct my office timings
Training,Company Name =SPRAL
HR,Exchange my mouse ??
Training,Backup and upgrade training and restore
Operations,"Deep computer, hard disc"
IT,S1/2 Push Organisation Settings & test
IT,S2/2 Push Organisation Settings & test
Marketing & Sales,Lock Users Maan Architect
IT,New Organisation Created
IT,New Organisation Created
Other,Provide bhatia db backup before upgrade
Other,Kr Automotive
HR,Petty cash
Operations,Car cleaning - 22 Nov 22
Operations,Coffee machine cleaning - 22 Nov 22
Training,Financial year transfer
Training,K.R automotive
IT,Please provide connection to rakesh sir
Operations,Raised PI
HR,Short Leave
Marketing & Sales,New Website Lead
HR,Provide laptop of shubham sir i have to push pile.
IT,Track Bug
Training,React
Training,React
IT,New Organisation Created
IT,New Organisation Created
Other,Miscellaneous Tasks - 23 Nov 22
Training,IT Training - 23 Nov 22
Finance,Bank entry and reconciliation - 22 Dec 22
Other,Miscellaneous Tasks - 23 Nov 22
IT,New Organisation Created
IT,New Organisation Created
Training,Submit validation
Training,Submit validation
IT,New Organisation Created
IT,New Organisation Created
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Hierarchy bug in small org"
Marketing & Sales,Lock free trial
Other,Lakhani hardware & sarvee shop & rainbow pant
Marketing & Sales,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>TrackHr App SQL Dev - 23 Nov"
Operations,Proof read NDA
Marketing & Sales,Subscription
IT,New Organisation Created
IT,New Organisation Created
Marketing & Sales,Training session
Finance,Raise Invoice
Training,IT Training - 21 Nov 22
Training,Training
Training,Demo
IT,Alumax complaint
Training,IT Training - 22 Nov 22
IT,Resolved the complaint
IT,#Bug - Way2advertize
Other,Market dhai buy
Training,Module training
IT,New Organisation Created
IT,New Organisation Created
IT,[Sub] OMEGA
IT,SQL installation
Operations,Arrenge and restore Dbase of karan
IT,Status And Color.css Link Change
IT,IT Trackhr Color.css And Link
IT,Print file changes
IT,Royal Auto Tech | GST Invoice(Module) | Data Rectification
IT,Royal Auto Tech | GST Invoice(Module) | Data Rectification
IT,SELF | GST Invoice II(Module) | ATM
IT,Agro Engineering Works | GST Invoice II(Module) | ATM
IT,Agro Engineering Works | GST Invoice II(Module) | ATM
IT,Agro Engineering Works | GST Invoice II(Module) | ATM
Training,IT Training - 24 Nov 22
Other,Miscellaneous Tasks - 24 Nov 22
Operations,Car cleaning - 24 Nov 22
Operations,Coffee machine cleaning - 24 Nov 22
Training,SRBI
Training,HR App Discussion - 24 Nov 22
IT,TrackHr App SQL Dev - 24 Nov 22
IT,print format for spra
Finance,Collect cheque from Agro engineering works
Other,Mewla maharajpur 2 round
Other,Plant cafe & hardware shop 5 number market
IT,13437 | BHATIA ALLOY FORGINGS PVT. LTD. | GST HSN Details(Report) | Backup
Operations,Saarvee sales 1 number market
IT,13443 | SELF | N.A(N.A) | General
Marketing & Sales,New Website Lead
IT,New Organisation Created
IT,New Organisation Created
Operations,Car cleaning - 25 Nov 22
Operations,Coffee machine cleaning - 25 Nov 22
Other,Miscellaneous Tasks - 25 Nov 22
Training,Company name=Sidhi International
IT,13446 | Aluflex Systems | Purchase Order(Module) | General
Training,Track hr demo
IT,Flow Complete
Finance,Collect cheque from KR auto
Other,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>WIP MECHANISM"
Training,HR App Discussion - 23 Nov 22
IT,TrackHr App SQL Dev - 23 Nov 22
Training,Spra
Training,S1/2 Mapping of li
Training,S2/2 Mapping of li
Marketing & Sales,Ad campaigning - 25 Nov 22
Training,S1/3 Input callback
Training,S2/3 Input callback
Training,S3/3 Input callback
IT,13444 | J.J. ENGINEERING WORKS | Employee Master(Module) | Bug Rectification
IT,New Organisation Created
IT,New Organisation Created
Training,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>SRBI"
Training,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Spra"
IT,13448 | BSL Castings Pvt. Ltd. | Dispatch Advice II(Module) | Bug Rectification
HR,Internship letter
IT,13449 | SELF | N.A(N.A) | Bug Rectification
Training,Training
IT,13440 | PROMPTECH INDUSTRIAL PRODUCTS | GST HSN Details(Report) | Backup
Operations,Car cleaning - 26 Nov 22
Operations,Coffee machine cleaning - 26 Nov 22
Other,Miscellaneous Tasks - 26 Nov 22
Other,Miscellaneous Tasks - 26 Nov 22
IT,Alumax complaint
IT,13455 | Royal Auto Tech | N.A(N.A) | License expire
IT,13456 | INTALIO PRIVATE LIMITED | N.A(N.A) | License expire
Training,IT ticket
IT,13458 | BSL Castings Pvt. Ltd. | N.A(N.A) | Bug Rectification
IT,13459 | INTALIO PRIVATE LIMITED | N.A(N.A) | Bug Rectification
IT,13460 | BSL Castings Pvt. Ltd. | N.A(N.A) | General
Training,Diffrence between function and make a dropdown lis
Training,Modules training in marks company
IT,New Organisation Created
IT,New Organisation Created
IT,New Organisation Created
IT,New Organisation Created
Finance,Raise Invoice For Maan Architect
IT,Contact preeti promptech
IT,New Organisation Created
IT,New Organisation Created
IT,Bug
Other,Expenses voucher nov22
IT,OMEGA
Operations,Car cleaning - 23 Nov 22
Operations,Coffee machine cleaning - 23 Nov 22
Other,Backup of bhatia alloy and restore in my laptop
HR,Mouse allocation
Operations,Collect cheque from KR auto
Training,In spra
IT,New Organisation Created
IT,New Organisation Created
Other,Miscellaneous Tasks - 24 Nov 22
IT,Child part masterv1 tick issue
IT,BHATIA ALLOY FORGINGS PVT. LTD. | GST HSN Details(Report) | Backup
IT,13447 | BSL Castings Pvt. Ltd. | N.A(N.A) | General
IT,EMS installation in client pc(VPPL)
Marketing & Sales,Anurag Bhalla Bug
Marketing & Sales,Like And Share
Marketing & Sales,Subscription Users Lock
Marketing & Sales,Console Training For Benetion Cosmetics
IT,13450 | BSL Castings Pvt. Ltd. | N.A(N.A) | Bug Rectification
Finance,Finance at bank
Training,IT Training - 26 Nov 22
IT,New Organisation Created
IT,New Organisation Created
Marketing & Sales,Website Lead Ticket
IT,New Organisation Created
IT,New Organisation Created
Training,Form of name and email
IT,New Organisation Created
IT,New Organisation Created
Marketing & Sales,IT PDF
IT,Royal Auto Tech | GST Invoice(Module) | Data Rectification
IT,13437 | BHATIA ALLOY FORGINGS PVT. LTD. | GST HSN Details(Report) | Backup
IT,13437 | BHATIA ALLOY FORGINGS PVT. LTD. | GST HSN Details(Report) | Backup
IT,13437 | BHATIA ALLOY FORGINGS PVT. LTD. | GST HSN Details(Report) | Backup
IT,13440 | PROMPTECH INDUSTRIAL PRODUCTS | GST HSN Details(Report) | Backup
IT,13445 | Ajay Engineering Works | N.A(N.A) | User license count
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Erp"
Marketing & Sales,Training session
IT,13453 | PMT ENGINEERS | Create Login User(Module) | Data Rectification
IT,#Bug - Encoders India
IT,Bsl
IT,Hierarchy bug in small org
IT,Backend problem
Other,Market 21c hardware shop
IT,Print file changes
IT,Agro Engineering Works | GST Invoice II(Module) | ATM
IT,13437 | BHATIA ALLOY FORGINGS PVT. LTD. | GST HSN Details(Report) | Backup
Marketing & Sales,Subscription
Training,IT Training - 25 Nov 22
Marketing & Sales,S1/21 Like And Share
Marketing & Sales,S2/21 Like And Share
Marketing & Sales,S3/21 Like And Share
Marketing & Sales,S4/21 Like And Share
Marketing & Sales,S5/21 Like And Share
Marketing & Sales,S6/21 Like And Share
Marketing & Sales,S7/21 Like And Share
Marketing & Sales,S8/21 Like And Share
Marketing & Sales,S9/21 Like And Share
Marketing & Sales,S10/21 Like And Share
Marketing & Sales,S11/21 Like And Share
Marketing & Sales,S12/21 Like And Share
Marketing & Sales,S13/21 Like And Share
Marketing & Sales,S14/21 Like And Share
Marketing & Sales,S15/21 Like And Share
Marketing & Sales,S16/21 Like And Share
Marketing & Sales,S17/21 Like And Share
Marketing & Sales,S18/21 Like And Share
Marketing & Sales,S19/21 Like And Share
Marketing & Sales,S20/21 Like And Share
Marketing & Sales,S21/21 Like And Share
IT,13449 | SELF | N.A(N.A) | Bug Rectification
Training,Training
Training,Training
IT,New Organisation Created
IT,New Organisation Created
IT,13451 | Faridabad Bolt Tight Industries Pvt. Ltd. | Receipt Voucher(Module) | Bug Rec
IT,Restore backup and upgrade
IT,PMT
IT,13452 | Royal Auto Tech | GST Invoice(Module) | Data Rectification
IT,13454 | SWASTIK AUTOMECH PVT. LTD | N.A(N.A) | General
IT,13457 | TAJ FORGINGS PVT. LTD. | N.A(N.A) | Ems Installation
Training,Input search and timeout
Training,Input search and timeout
Operations,Take a backup and restore of FBT
Operations,Finance at bank
Marketing & Sales,Airtech Location Bug
Marketing & Sales,Like And Share
Operations,Fbt auto adjustment problem
IT,30084 | Arvind Engineers | Backlog GST Invoice(Module) | Data rectification
IT,17186 | Alumex International | Production(Module) | Bug Rectification
IT,17189 | SELF | N.A(N.A) | General
IT,Jindal fabric case discuss and test cost centre
IT,Krishna backup
IT,[Sub] 17182 | BSL Castings Pvt. Lt
IT,Modules Excel sheet
IT,17193 | BSL Castings Pvt. Ltd. | Jobwork (OSP) Ledger(Report) | Bug Rectification
Other,Hex complaint bugs + feedback form bugs
IT,Session storage dynamic
Operations,Today's activities
HR,"HRs, followup and resignation discussion"
IT,EMS installation
Training,Give training to new employees of trackhr and prod
IT,17195 | Alumex International | Purchase Order(Module) | Bug Rectification
IT,[Sub] 17188 | SELF | Stock at Stor
IT,Material transformation format
HR,Monthly contribution - 01 Aug 23
IT,Jindal fabric and swastik
IT,[Sub] 30090 | Rajhans Presssings P
IT,30091 | INTALIO PRIVATE LIMITED | N.A(N.A) | Case understanding
IT,30093 | Rajshree Industries Unit-II | Purchase Billbook(Module) | Bug rectification
IT,30094 | M.Engineering Tools | N.A(N.A) | Bug rectification
HR,Official maid I'd please generate
IT,30101 | Omega Bright Steel Pvt Ltd. | Material Issue(Module) | Bug rectification
IT,Main Form Checking
IT,New Crystal Report Procedure
IT,[Sub] 30102 | ARVIND ENGINEERS (UN
IT,Sidhi International complaint
IT,Intrest Information Master V7
Finance,Jindal database not clear mention
Finance,Need Laptop For Excel Working
Finance,Database clone 22-23
IT,30106 | Rajshree Industries Unit-II | N.A(N.A) | Bug rectification
IT,30107 | Royal Auto Tech (Sec-58) | Purchase Order(Module) | Bug rectification
Operations,Today's activities
IT,Modules IT
IT,17190 | Omega Bright Steel Pvt Ltd. | Production(Module) | Bug Rectification
IT,[Sub] 17193 | BSL Castings Pvt. Lt
IT,30088 | YAMAN INDUSTRIES | Purchase Order(Module) | Modification
Marketing & Sales,Training
Finance,E-scan error
IT,30105 | M.Engineering Tools | N.A(N.A) | USer license count
IT,30109 | M.Engineering Tools | GST Invoice(Module) | Bug rectification
IT,30110 | Siddhi International | PPC Production(Module) | Bug rectification
IT,Quotation pdf
IT,GST 3B V7
HR,Reqiire sales training calenders
IT,Development Meeting with deep sir
IT,New Organisation Created
IT,Gst Deposite challan v7
IT,Backup project to server - 26 Jul 23
IT,Backup - 26 Jul 23
IT,Backup - 26 Jul 23
HR,Trackhr evaluation - 26 Jul 23
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,30089 | Bhupendra Steels Pvt. Ltd. | Sale Register (GST)(Report) | Bug rectification
IT,Help in complaints
IT,Backup - 24 Jul 23
Marketing & Sales,Video shoot for daily reels - 24 Jul 23
Marketing & Sales,LinkedIn post - 24 Jul 23
Marketing & Sales,Influencer Marketing & PR - 24 Jul 23
Marketing & Sales,Crawl Errors - 26 Jul 23
Marketing & Sales,Broken Links - 26 Jul 23
Marketing & Sales,Loading Speed - 24 Jul 23
Marketing & Sales,Blog & Illustration - 25 Jul 23
Marketing & Sales,Review - 24 Jul 23
IT,[Sub] 17189 | SELF | N.A(N.A) | Ge
IT,Company complaint and development
IT,30100 | Rajhans Industries | Dispatch Advice(Module) | Data rectification
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
Marketing & Sales,Like and Share
IT,SQL installation and back-up restore
IT,30108 | Rajhans Presssings Pvt. Ltd. (Unit-III) | N.A(N.A) | Bug rectification
Finance,Invoice sheet and payment sheet - 30 Aug 23
Training,Account related module training in spral
IT,Git Push Saturday - 03 Dec 22
Other,Miscellaneous Tasks - 28 Nov 22
Training,S1/3 Card search and ui
Training,S2/3 Card search and ui
Training,S3/3 Card search and ui
IT,13461 | Hind Hydraulic | N.A(N.A) | General
Training,"Loops or conditional rendering, recursion, array,"
IT,13462 | Agro Engineering Works | N.A(N.A) | Backup
IT,13463 | KRISHNA ENTERPRISES | N.A(N.A) | Backup
IT,13467 | Royal Auto Tech | N.A(N.A) | User license count
Training,Production center and role manager
Training,HELLA [SPRA]
IT,13469 | Saket Metal Technocraft P. Ltd. | N.A(N.A) | License expire
Other,Advance for site visit power ropes
IT,Royal tool 24 se 2000 ka check lena hai
IT,Gst invoice me vendor no ki size increase
IT,Gts invoice ma print cut rha hai
Finance,Party statement reco - 27 Dec 22
Finance,Payment parties chaseup phase 2 - 27 Dec 22
IT,13476 | KRISHNA ENTERPRISES | Purchase Billbook(Module) | Data Rectification
IT,13477 | BSL Castings Pvt. Ltd. | Purchase OrderV1(Module) | Data Rectification
IT,13478 | Vinayakk Press Tools | GST Invoice(Module) | Data Rectification
IT,13479 | Sant Bhagat Singh Ji Maharaj Charitable Trust Hospital | N.A(N.A) | License e
HR,Petty cash
Other,Miscellaneous Tasks - 29 Nov 22
Other,Miscellaneous Tasks - 29 Nov 22
Training,S1/2 Card by map and lazy loading
Training,S2/2 Card by map and lazy loading
IT,13481 | Kirat Plastics Pvt. Ltd. | N.A(N.A) | License expire
Training,Siddhi international
Other,Kindly correct the check in time
Other,Make pi for power ropes
IT,Take backup and restore data on server
Other,Take database backup from PMTINT
IT,13485 | SHARDA AUTO PRODUCTS | N.A(N.A) | General
IT,13486 | Agro Engineering Works | N.A(N.A) | Backup
Other,English Group Making Process
Other,English test
IT,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>13490 | Pooja Metal Processo"
IT,Git push Saturday - 03 Dec 22
Other,Miscellaneous Tasks - 28 Nov 22
IT,13466 | BSL Castings Pvt. Ltd. | RouteCardV1(Module) | Bug Rectification
IT,13466 | BSL Castings Pvt. Ltd. | RouteCardV1(Module) | Bug Rectification
Training,Training in SPRAL
Other,English Test
IT,New Organisation Created
IT,New Organisation Created
Operations,Car cleaning - 30 Nov 22
Operations,Coffee machine cleaning - 30 Nov 22
Training,Table and version and input hex component
Training,"Table, version, input"
Training,"Hexapi, input, table"
IT,Add Filter
IT,Svarn
Other,Set ODBC settings
IT,13500 | TAJ FORGINGS PVT. LTD. | N.A(N.A) | License expire
IT,13501 | SUPERCUT ENGINEERING WORKS | N.A(N.A) | Ems Installation
Other,"<small><font color=""#9E9E9E""><i>[Sub] </i></font></small>Update Checkout TAT"
IT,13505 | Marks Ancillaries | N.A(Module) | License expire
IT,13506 | Alumex International | N.A(N.A) | Data Rectification
IT,13507 | SWASTIK ENGINEERS | Purchase Billbook(Module) | Data Rectification
IT,13510 | SELF | N.A(N.A) | Bug Rectification
Other,3 round market
Operations,Car cleaning - 01 Dec 22
Operations,Coffee machine cleaning - 01 Dec 22
Training,Table Component
Training,Hexapi
Other,Take db backup from alumex
IT,13511 | Arvindo Hi-Tech Pvt. Ltd. | N.A(N.A) | User license count
IT,13512 | ARVIND ENGINEERS (UNIT-III) | GRN(Module) | Data Rectification
IT,13514 | SELF | Dispatch Advice II(Module) | Bug Rectification
HR,Petty cash
IT,New Organisation Created
